ID,Degree,Closeness centrality,Clustering coefficient
257,2,0.2446524064171123,0
258,2,0.27395209580838326,0
259,5,0.24718595227375056,0
260,4,0.26964636542239684,0
261,2,0.2461883408071749,0
262,2,0.24740874267688148,0
263,3,0.24718595227375056,0
264,4,0.24552772808586762,0
265,3,0.2859375,0
266,4,0.2516040329972502,0
267,4,0.31497418244406195,0
268,5,0.2799592044875064,0
269,2,0.23292320746711923,0
270,3,0.26305701964542405,0.3333333333333333
271,6,0.2522977941176471,0
272,3,0.24015748031496062,0
273,2,0.2527624309392265,0
274,2,0.25206611570247933,0
275,5,0.2524137931034483,0
276,2,0.23921568627450981,0
277,3,0.2650893288266538,0.3333333333333333
278,3,0.3121091529277999,0
279,3,0.2521819016995866,0
280,2,0.2946859903381642,1.0
281,4,0.2742257742257742,0
282,2,0.24696356275303644,0
283,2,0.24920562868815252,0
284,6,0.26806640625,0
285,4,0.3182608695652174,0.16666666666666666
286,2,0.24292035398230089,0
287,3,0.2950026867275658,0
288,3,0.2772727272727273,0
289,2,0.26457831325301207,0
290,6,0.29627630868861304,0
291,2,0.24819168173598552,0
292,2,0.2629310344827586,0
293,5,0.24015748031496062,0
294,6,0.2998361551064992,0.06666666666666667
295,6,0.2969172525689562,0.06666666666666667
296,4,0.25570563577084304,0
297,2,0.27084361124815,0
298,4,0.31353512278697887,0
299,2,0.2589622641509434,0
300,4,0.2695139911634757,0
301,2,0.2972387655657823,0
302,2,0.24410849266340595,0
303,3,0.25404905136510875,0
304,2,0.25630252100840334,0
305,3,0.2826982492276004,0
306,4,0.2577464788732394,0
307,3,0.24292035398230089,0
308,4,0.305849582172702,0
309,2,0.24752028854824165,0
310,4,0.2926439232409382,0
311,2,0.28608650338718083,0
312,3,0.3112244897959184,0.3333333333333333
313,3,0.26689353427321344,0
314,3,0.2991825613079019,0
315,2,0.24920562868815252,0
316,2,0.26305701964542405,0
317,4,0.2340153452685422,0
318,2,0.22695328648201737,0
319,2,0.26305701964542405,0
320,2,0.26280516993776926,0
321,2,0.30842696629213484,0
322,3,0.27071005917159763,0
323,2,0.24249116607773852,0
